Filename : /home/kelsey/simulations/simdat/v.2.1.2/*.root
Beta Cut : 0.800000
Total Entries : 4222034
Layer 	 Row 	 Mod 	 Det 	 Strip 	 MPV 	 Sigma 	 NEntries
0 	 0 	 0 	 0 	 0.706425 	 10093.501339 	 168 
0 	 0 	 0 	 1 	 0.782620 	 944.965503 	 142 
0 	 0 	 0 	 2 	 0.744968 	 24364.753093 	 171 
0 	 0 	 0 	 3 	 0.720592 	 12490.063337 	 179 
0 	 0 	 0 	 4 	 0.719775 	 5066.987084 	 182 
0 	 0 	 0 	 5 	 0.711292 	 8060.469344 	 213 
0 	 0 	 0 	 6 	 0.716877 	 8920.015883 	 189 
0 	 0 	 0 	 7 	 0.724044 	 11793.934953 	 181 
0 	 0 	 0 	 8 	 0.714796 	 14399.486413 	 213 
0 	 0 	 0 	 9 	 0.720995 	 27669.170576 	 175 
0 	 0 	 0 	 10 	 0.701968 	 7124.079818 	 165 
0 	 0 	 0 	 11 	 0.722854 	 18568.105815 	 173 
0 	 0 	 0 	 12 	 0.000000 	 1000.000000 	 0 
0 	 0 	 0 	 13 	 0.000000 	 1000.000000 	 0 
0 	 0 	 0 	 14 	 0.727799 	 4648.975848 	 178 
0 	 0 	 0 	 15 	 0.714277 	 4818.668892 	 134 
0 	 0 	 0 	 16 	 0.724789 	 3047.456988 	 95 
0 	 0 	 0 	 17 	 0.710751 	 8596.369046 	 92 
0 	 0 	 0 	 18 	 0.687224 	 13784.669870 	 73 
0 	 0 	 0 	 19 	 0.709236 	 2403.180999 	 68 
0 	 0 	 0 	 20 	 0.000000 	 1000.000000 	 0 
0 	 0 	 0 	 21 	 0.654189 	 1847.713927 	 60 
0 	 0 	 0 	 22 	 0.716267 	 2335.216362 	 63 
0 	 0 	 0 	 23 	 0.628929 	 1010.053051 	 59 
0 	 0 	 0 	 24 	 0.750546 	 3214.715961 	 74 
0 	 0 	 0 	 25 	 0.716963 	 11657.421916 	 66 
0 	 0 	 0 	 26 	 0.734645 	 7462.706118 	 83 
0 	 0 	 0 	 27 	 0.000000 	 1000.000000 	 0 
0 	 0 	 0 	 28 	 0.676048 	 1729.056362 	 76 
0 	 0 	 0 	 29 	 0.714740 	 5879.610861 	 75 
0 	 0 	 0 	 30 	 0.740186 	 111749.530965 	 93 
0 	 0 	 0 	 31 	 0.738839 	 5869.544055 	 97 
0 	 0 	 1 	 0 	 0.711140 	 5194.521643 	 151 
0 	 0 	 1 	 1 	 0.715930 	 17392.892466 	 163 
0 	 0 	 1 	 2 	 0.718032 	 11800.777811 	 195 
0 	 0 	 1 	 3 	 0.000000 	 1000.000000 	 0 
0 	 0 	 1 	 4 	 0.607507 	 1050.754328 	 179 
0 	 0 	 1 	 5 	 0.677786 	 8655.820530 	 192 
0 	 0 	 1 	 6 	 0.708326 	 21416.588314 	 181 
0 	 0 	 1 	 7 	 0.724747 	 24369.677398 	 194 
0 	 0 	 1 	 8 	 0.711579 	 15529.748525 	 183 
0 	 0 	 1 	 9 	 0.725519 	 16488.200728 	 202 
0 	 0 	 1 	 10 	 0.716086 	 10121.530153 	 208 
0 	 0 	 1 	 11 	 0.710700 	 12721.404261 	 173 
0 	 0 	 1 	 12 	 0.826564 	 1125.431582 	 180 
0 	 0 	 1 	 13 	 0.699574 	 7721.964090 	 166 
0 	 0 	 1 	 14 	 0.722903 	 7919.288330 	 166 
0 	 0 	 1 	 15 	 0.703082 	 5609.745619 	 137 
