136	stripA2	1000.00	4.77	0.02
136	stripA2	2000.00	3.56	0.02
136	stripA2	3000.00	3.10	0.02
136	stripA2	4000.00	3.70	0.02
136	stripA2	5000.00	3.65	0.02
136	stripA2	6000.00	3.83	0.02
136	stripA2	7000.00	3.56	0.02
136	stripA2	8000.00	4.12	0.02
136	stripA2	9000.00	3.91	0.02
136	stripA2	10000.00	4.29	0.02
136	stripE	1000.00	6.18	0.02
136	stripE	2000.00	5.32	0.02
136	stripE	3000.00	5.35	0.02
136	stripE	4000.00	5.32	0.02
136	stripE	5000.00	5.28	0.02
136	stripE	6000.00	6.03	0.02
136	stripE	7000.00	6.32	0.02
136	stripE	8000.00	6.94	0.02
136	stripE	9000.00	6.61	0.02
136	stripE	10000.00	6.68	0.02
136	stripF1	1000.00	4.34	0.02
136	stripF1	2000.00	4.16	0.02
136	stripF1	3000.00	3.53	0.02
136	stripF1	4000.00	3.94	0.02
136	stripF1	5000.00	3.76	0.02
136	stripF1	6000.00	3.72	0.02
136	stripF1	7000.00	4.47	0.02
136	stripF1	8000.00	4.35	0.02
136	stripF1	9000.00	4.43	0.02
136	stripF1	10000.00	4.43	0.02
136	stripF2	1000.00	4.4	0.02
136	stripF2	2000.00	3.63	0.02
136	stripF2	3000.00	3.37	0.02
136	stripF2	4000.00	2.80	0.02
136	stripF2	5000.00	3.13	0.02
136	stripF2	6000.00	3.31	0.02
136	stripF2	7000.00	3.45	0.02
136	stripF2	8000.00	3.26	0.02
136	stripF2	9000.00	3.66	0.02
136	stripF2	10000.00	3.72	0.02
136	stripG	1000.00	5.42	0.02
136	stripG	2000.00	4.43	0.02
136	stripG	3000.00	4.67	0.02
136	stripG	4000.00	4.52	0.02
136	stripG	5000.00	5.10	0.02
136	stripG	6000.00	5.29	0.02
136	stripG	7000.00	7	0.02
136	stripG	8000.00	7.77	0.02
136	stripG	9000.00	7.27	0.02
136	stripG	10000.00	8.54	0.02
